,Body,Tag
62,"you don't test the converter, you test the final code.   if the code doesn't compile, clearly your converter is failing. if the code compiles and your functionality tests fail, then you can tweak the code so that it passes the test. if you are fairly successful you should see that you only need to fix the modules that actually fail.  goodluck  ",c# testing
63,"yes, the opengl extension wrangler library (glew) is a painless way to use opengl extensions on windows. here's how to get started on it:  identify the opengl extension and the extension apis you wish to use. opengl extensions are listed in the opengl extension registry.  check if your graphic card supports the extensions you wish to use. download and install the latest drivers and sdks for your graphics card.  recent versions of nvidia opengl sdk ship with glew. if you're using this, then you don't need to do some of the following steps.  download glew and unzip it.  add the glew bin path to your windows path environment variable. alternatively, you can also place the glew32.dll in a directory where windows picks up its dlls.  add the glew include path to your compiler's include directory list.  add the glew lib path to your compiler's library directory list.  instruct your compiler to use glew32.lib during linking. if you're using visual c++ compilers then one way to do this is by adding the following line to your code:  #pragma comment(lib, ""glew32.lib"")   add a #include &lt;gl/glew.h&gt; line to your code. ensure that this is placed above the includes of other gl header files. (you may actually not need the gl header files includes if you include glew.h.)  initialize glew using glewinit() after you've initialized glut or gl. if it fails, then something is wrong with your setup.  if (glew_ok  = glewinit()) {     // glew failed      exit(1); }   check if the extension(s) you wish to use are now available through glew. you do this by checking a boolean variable named glew_your_extension_name which is exposed by glew.     example:   if ( glew_ext_framebuffer_object) {     exit(1); }   that's it  you can now use the opengl extension calls in your code just as if they existed naturally for windows. ",opengl glew
64,"ben, almost all seasoned programmers are still students in programming. you never stops learning anything when you are a developer. but if you are really starting off on your career then you should be least worried about the specialization thing. all apis, frameworks and skills that you expect that gives you a long term existence in the field is not going to happen. technology seems changing a lot and you should be versatile and flexible enough to learn anything. the knowledge you acquire on one platform/api/framework doesn't die off. you can apply the skills to the next greatest platform/api/framework.   that being said you should just stop worrying about the future and concentrate on the basics. datastructures, algorithm analysis and design, compiler design, operating system design are the bare minimum stuff you need.  and further you should be willing to go back and read tho books in those field any time in your career. thats all is required. good luck.   sorry if i sounded like a big ass advisor; but thats what i think. :-) ",language-agnostic
65,"you can use the chilkat library.  it's commercial, but has a free evaluation and seems pretty nice.  here's an example i got from here:  import chilkat  # demonstrates how to create a winzip-compatible 128-bit aes strong encrypted zip zip = chilkat.ckzip() zip.unlockcomponent(""anything for 30-day trial"")  zip.newzip(""strongencrypted.zip"")  # set the encryption property = 4, which indicates winzip compatible aes encryption. zip.put_encryption(4) # the key length can be 128, 192, or 256. zip.put_encryptkeylength(128) zip.setpassword(""secret"")  zip.appendfiles(""exampledata/*"",true) zip.writezip()  ",python zip
66,"there are two rules i follow:   accept the most basic type that will work return the richest type your user will need   so when writing a function or method that takes a collection, write it not to take a list, but an ilist&lt;t&gt;, an icollection&lt;t&gt;, or ienumerable&lt;t&gt;.  the generic interfaces will still work even for heterogenous lists because system.object can be a t too.  doing this will save you headache if you decide to use a stack or some other data structure further down the road.  if all you need to do in the function is foreach through it, ienumerable&lt;t&gt; is really all you should be asking for.  on the other hand, when returning an object out of a function, you want to give the user the richest possible set of operations without them having to cast around.  so in that case, if it's a list&lt;t&gt; internally, return a copy as a list&lt;t&gt;. ",c# .net
67,"if you want to perform more complicated operations, like reading the output of the external program, you may be better served by the popen system call. for example, to programmatically access a directory listing (this is a somewhat silly example, but useful as an example), you could write something like this:  #include &lt;stdio.h&gt;  int main() {   int entry = 1;   char line[200];   file* output = popen(""/usr/bin/ls -1 /usr/man"", ""r"");   while ( fgets(line, 199, output) )   {     printf(""%5d: %s"", entry++, line);   } }   to give output like this  1: cat1 2: cat1b 3: cat1c 4: cat1f 5: cat1m 6: cat1s ...  ",c process
68,if you partition your drive using lvm you won't have to worry about any individual partition running out of space in the future. just move space around as necessary. ,linux storage disk-partitioning
69,"none of the apis for the more 'word' like online editors seem to have any 'edit' functionality, just download and upload. this is obviously due to the complexity of the documents being stored.  with google docs api you can get a document, edit it, and then re-upload it (you may need to delete the previous version as well i think). zoho seems to provide an 'update' method which combines the two operations.  have you looked at the google notebook api instead  this might provide more granular access to the data in the 'note' due to its structured approach to storing the data. ",api
70,you can right click on the tab strip and insert a new vertical (or horizontal) tab group.  this allows you to view multiple tabs at the same time. ,visual-studio-2008
71,ok here's some best practices from some one who doesn't unit test as much as he should...cough.   make sure your tests test one thing and one thing only. write unit tests as you go. preferably before you write the code you are testing against. do not unit test the gui.  separate your concerns.  minimise the dependencies of your tests. mock behviour with mocks.  ,unit-testing
72,"""algebraic data types"" in haskell support full parametric polymorphism, which is the more technically correct name for generics, as a simple example the list data type:   data list a = cons a (list a) | nil   is equivalent (as much as is possible, and ignoring non-strict evaluation, etc) to   class list&lt;a&gt; {      class cons : list&lt;a&gt; {          a head;          list&lt;a&gt; tail;      }      class nil : list&lt;a&gt; {}  }   of course haskell's type system allows more ... interesting use of type parameters but this is just a simple example.  with regards to the ""algebraic type"" name, i've honestly never been entirely sure of the exact reason for them being named that, but have assumed that it's due the mathematical underpinnings of the type system.  i believe that the reason boils down to the theoretical definition of an adt being the ""product of a set of constructors"", however it's been a couple of years since i escaped university so i can no longer remember the specifics.  [edit: thanks to chris conway for pointing out my foolish error, adt are of course sum types, the constructors providing the product/tuple of fields] ",data-structures haskell types functional-programming algebraic-data-types
73,"as far as i know, there is no way to localize a report (meaning automating the translation of string litterals)...  like you said,you basically have to use the user language global variable to catch the user's settings and then use that to retrieve the appropriate strings from the db...  however, you can adapt the display of currency/numeric/date fields according to the user locale. also possible is changing the interface of the report viewer to match your user's langage.  here are a few links giving tips on how to adapt the locale:  http://www.ssw.com.au/ssw/standards/rules/rulestobettersqlreportingservices.aspx#languagesetting  langage pack for report viewer:  http://www.microsoft.com/downloads/details.aspx displaylang=en&amp;familyid=e3d3071b-d919-4ff9-9696-c11d312a36a0 ",reporting-services internationalization
74,you should also check hardware connectivity to the database.  perhaps this thread will be helpful: http://channel9.msdn.com/forums/techoff/234271-conenction-forcibly-closed-sql-2005/ ,c# sql-server tsql ado.net sql-server-2000
75,"we actually use a combination of nant and msbuild with cruisecontrol. nant is used for script flow control and calls msbuild to compile projects. after the physical build is triggered, nant is used to publish the individual project build outputs to a shared location.  i am not sure this is the best process. i think many of us are still looking for a great build tool. one promising thing i heard recently on .net rocks, episode 362, is james kovac's psake, a build system he based entirely on powershell. it sounds really promising since what you can do with powershell is fairly limitless in theory. ",.net build-process nant
76,"if you want to specify both a limit for number of items to remove and a condition to select the items to remove, you can use this approach:  int limit = 30; // suppose you want to remove 30 items at most list.removeall(item =&gt; shouldiremovethis(item) &amp;&amp; limit-- &gt; 0);  ",.net
77,"the hash code of an object shouldn't be unique.   the checking rule is:    are the hash codes equal  then call the full (slow) equals method. are the hash codes not equal  then the two items are definitely not equal.   all you want is a gethashcode algorithm that splits up your collection into roughly even groups - it shouldn't form the key as the hashtable or dictionary&lt;&gt; will need to use the hash to optimise retrieval.  how long do you expect the data to be  how random  if lengths vary greatly (say for files) then just return the length.  if lengths are likely to be similar look at a subset of the bytes that varies.  gethashcode should be a lot quicker than equals, but doesn't need to be unique.  two identical things must never have different hash codes. two different objects should not have the same hash code, but some collisions are to be expected (after all, there are more permutations than possible 32 bit integers). ",c# hash
78,"there are a couple ways, create an action for each step of the wizard process, or create a parameter that is passed in to the action method.  like step that will allow you to know what the state of the wizard is in. ",asp.net-mvc
79,"i like a single object to be correlated to a single record in the database, i.e. an object must be instantiated.  this is your basic activerecord pattern.  in my experience, the one-object-to-one-row approach creates a much more fluid and literate presentation in code.  also, i like to treat objects as records and the class as the table. for example to change the name of a record i do:  objperson = new person(id)  objperson.name = ""george""  objperson.save()   while to get all people who live in louisiana i might do  arypeople = person::getpeoplefromstate(""la"")   there are plenty of criticisms of active record.  you can especially run into problems where you are querying the database for each record or your classes are tightly coupled to your database, creating inflexibility in both.  in that case you can move up a level and go with something like datamapper.   many of the modern frameworks and orm's are aware of some of these drawbacks and provide solutions for them.  do a little research and you will start to see that this is a problem that has a number of solutions and it all depend on your needs.  ",database orm class-design
80,"well, since you can not have one part osgi and one part non-osgi you'll need to make your entire app osgi. in its simplest form you make a single osgi bundle out of your entire application. clearly this is not a best practice but it can be useful to get a feel for deploying a bundle in an osgi container (equinox, felix, knoplerfish, etc).  to take it to the next level you'll want to start splitting your app into components, components should typically have a set of responsibilities that can be isolated from the rest of your application through a set of interfaces and class dependencies. identifying these purely by hand can range from rather straightforward for a well designed highly cohesive but loosely coupled application to a nightmare for interlocked source code that you are not familiar with.  some help can come from tools like jdepend which can show you the coupling of java packages against other packages/classes in your system. a package with low efferent coupling should be easier to extract into an osgi bundle than one with high efferent coupling. even more architectural insight can be had with pro tools like structure 101.  purely on a technical level, working daily with an application that consists of 160 osgi bundles and using spring dm i can confirm that the transition from ""normal"" spring to spring dm is largely pain free. the extra namespace and the fact that you can (and should) isolate your osgi specific spring configuration in separate files makes it even easier to have both with and without osgi deployment scenarios.  osgi is a deep and wide component model, documentation i recommend:   osgi r4 specification: get the pdfs of the core and compendium specification, they are canonical, authoritative and very readable. have a shortcut to them handy at all times, you will consult them. read up on osgi best practices, there is a large set of things you can do but a somewhat smaller set of things you should do and there are some things you should never do (dynamicimport: * for example).    some links:    osgi best practices and using apache felix peter kriens and bj hargrave in a sun presentation on osgi best practices  one key osgi concept are services, learn why and how they supplant the listener pattern with the whiteboard pattern the spring dm google group is very responsive and friendly in my experience the spring dm google group is no longer active and has moved to eclipse.org as the gemini blueprint project which has a forum here.  ",java spring osgi
81,"hook into the keypress event on the textbox, and when it encounters the enter key, run your hardware setting code, and then highlight the full text of the textbox again (see below) - windows will take care of clearing the text with the next keystroke for you.  textbox1.select(0, textbox1.text.length);  ",c# winforms textbox
82,"it's rather ugly:  statusenum mystatus = (statusenum) enum.parse(typeof(statusenum), ""active"", true);   i tend to simplify this with:  public static t parseenum&lt;t&gt;(string value) {     return (t) enum.parse(typeof(t), value, true); }   then i can do:  statusenum mystatus = enumutil.parseenum&lt;statusenum&gt;(""active"");   one option suggested in the comments is to add an extension, which is simple enough:  public static t toenum&lt;t&gt;(this string value) {     return (t) enum.parse(typeof(t), value, true); }  statusenum mystatus = ""active"".toenum&lt;statusenum&gt;();   finally, you may want to have a default enum to use if the string cannot be parsed:  public static t toenum&lt;t&gt;(this string value, t defaultvalue)  {     if (string.isnullorempty(value))     {         return defaultvalue;     }      t result;     return enum.tryparse&lt;t&gt;(value, true, out result)   result : defaultvalue; }   which makes this the call:  statusenum mystatus = ""active"".toenum(statusenum.none);   however, i would be careful adding an extension method like this to string as (without namespace control) it will appear on all instances of string whether they hold an enum or not (so 1234.tostring().toenum(statusenum.none) would be valid but nonsensical) . it's often be best to avoid cluttering microsoft's core classes with extra methods that only apply in very specific contexts unless your entire development team has a very good understanding of what those extensions do.  ",c# string enums
83,here are some 3rd-party diagramming tools:   http://www.nevron.com/products.diagramfor.net.overview.aspx http://www.nwoods.com/go/dotnet.htm http://www.syncfusion.com/products/diagram/web/default.aspx  ,asp.net asp.net-mvc .net-3.5 graphics diagram
84,"update: i have found a 3rd party com library called outlook redemption which is working fine for me at the moment. if you use it via com-interop in .net, don't forget to release every com object after you are done with it, otherwise your application crashes randomly. ",c# outlook email message msg
85,if you're using a winforms app you could try using userproperties to store this info. another possible solution could be custom configuration sections. ,.net enterprise-library connection-string
86,"do you know much about oop   if so, look into spring and hibernate to keep your implementation clean and orthogonal.  if you get that, you should find tdd a good way to keep your design compact and lean, especially since you have ""automated testing"" up and running.  update: looking at the first slew of answers, i couldn't disagree more.  particularly in the java space, you should find plenty of mentors/resources on working out your application with objects, not a database-centric approach.  database design is typically the first step for microsoft folks (which i do daily, but am in a recovery program, er, alt.net).  if you keep the focus on what you need to deliver to a customer and let your orm figure out how to persist your objects, your design should be better. ",java oop design architecture
87,"just change ""home"" to an empty string.  routes.maproute(     ""home"",     """",     new { action = index, controller = home } );  ",asp.net-mvc asp.net-mvc-routing
88,"the approach that i've found works for me is having seperate js files for each class (just as you would in java, c# and others). alternatively you can group your js into application functional areas if that's easier for you to navigate.  if you put all your js files into one directory, you can have your server-side environment (php for instance) loop through each file in that directory and output a &lt;script src='/path/to/js/$file.js' type='text/javascript'&gt; in some header file that is included by all your ui pages. you'll find this auto-loading especially handy if you're regularly creating and removing js files.  when deploying to production, you should have a script that combines them all into one js file and ""minifies"" it to keep the size down. ",javascript web-applications deployment
89,"      does anyone know of anyway to   reduce/optimize the pdf export phase   and or the size of the pdf without   lowering the total page count       i have a few ideas and questions: 1. is this a graphics-heavy report   if not, do you have tables that start out as text but are converted into a graphic by the ssrs pdf renderer (check if you can select the text in the pdf)   41k per page might be more than it should be, or it might not, depending on how information-dense your report is.  but we've had cases where we had minor issues with a report's layout, like having a table bleed into the page's margins, that resulted in the ssrs pdf renderer ""throwing up its hands"" and rendering the table as an image instead of as text.  obviously, the fewer graphics in your report, the smaller your file size will be. 2. is there a way that you could easily break the report into pieces   e.g., if it's a 10-location report, where location 1 is followed by location 2, etc., on your final report, could you run the location 1 portion independent of the location 2 portion, etc.   if so, you could join the 10 sub-reports into one final pdf using pdfsharp after you've received them all.  this leads to some difficulties with page numbering, but nothing insurmountable.     3. does anyone else have any other   theories as to why this runs on the   server but not through the api    my guess would be the sheer size of the report.  i don't remember everything about what's an iis setting and what's ssrs-specific, but there might be some overall iis settings (maybe in metabase.xml) that you would have to be updated to even allow that much data to pass through.   you could isolate the question of whether the time is the problem by taking one of your working reports and building in a long wait time in your stored procedures with waitfor (assuming sql server for your dbms).  not solutions, per se, but ideas.  hope it helps. ",sql-server reporting-services
90,"i still do it the old way, by defining a macro (xtrace, below) which correlates to either a no-op or a function call with a variable argument list. internally, call vsnprintf so you can keep the printf syntax:  #include &lt;stdio.h&gt;  void xtrace0(lpctstr lpsztext) {    ::outputdebugstring(lpsztext); }  void xtrace(lpctstr lpszformat, ...) {     va_list args;     va_start(args, lpszformat);     int nbuf;     tchar szbuffer[512]; // get rid of this hard-coded buffer     nbuf = _vsnprintf(szbuffer, 511, lpszformat, args);     ::outputdebugstring(szbuffer);     va_end(args); }   then a typical #ifdef switch:  #ifdef _debug #define xtrace xtrace #else #define xtrace #endif   well that can be cleaned up quite a bit but it's the basic idea. ",c++ c c-preprocessor
91,"i am not sure i completely understand your question.   if you are referring to the folder the ide has as the current folder, then you can just change the shortcut that launches delphi to set the current directory where ever you want it to be.  ",delphi ide
92,"assuming you have vmware workstation, vmware player or anything that can run vmware appliance, you just need to:   download, unzip ubuntu 8.04 server and start the virtual machine. update ubuntu and set the layout and the timezone:  sudo apt-get update sudo apt-get upgrade sudo dpkg-reconfigure console-setup sudo dpkg-reconfigure tzdata sudo vim /etc/network/interfaces  set a fixed ip (optional).  install apache+mysql+php: sudo tasksel install lamp-server   ",ubuntu vmware lamp
93,"in solutions with multiple projects, one thing i've found very helpful is to have all the assemblyinfo files point to a single project that governs the versioning. so my assemblyinfos have a line:  [assembly: assemblyversion(foo.staticversion.bar)]   i have a project with a single file that declares the string:  namespace foo {     public static class staticversion     {          public const string bar= ""3.0.216.0""; // 08/01/2008 17:28:35     } }   my automated build process then just changes that string by pulling the most recent version from the database and incrementing the second last number.  i only change the major build number when the featureset changes dramatically.  i don't change the file version at all. ",.net attributes versions
94,"this is a really cool feature. i've poked through the feature documentation, and the accompanying command list, and not a heck of a lot is showing up in terms of turning it off.  if you want to search for &gt;exit, you could always type &gt;edit.find &gt;exit in the search box; that seems to do the trick. a bit verbose, though, but it really is an edge case. ",visual-studio
95,"   should i just do it when i'm going to use it    i would recommend that you only retrieve the data when you are going to use it. if you are not going to need it, there is no reason to waste resources by retrieving it in page_load. if you are going to need it multiple times throughout the page load, consider saving the query results to a private variable or collection so that the same data can be reused multiple times throughout the page load.     am i opening a new connection when i create a new instance    asp.net handles connection pooling, and opens and closes connections in an efficient way. you shouldn't have to worry about this.  one other thing to consider from a performance perspective is to avoid using datasets and tableadapters. in many cases, they add extra overhead into data retrieval that does not exist when using linq to sql, stored procedures or datareaders. ",asp.net database performance
96,"i am generally a proponent of putting everything in stored procedures, for all of the reasons dbas have been harping on for years.  in the case of linq, it is true that there will be no performance difference with simple crud queries.  but keep a few things in mind when making this decision: using any orm couples you tightly to your data model.  a dba has no freedom to make changes to the data model without forcing you to change your compiled code.  with stored procedures, you can hide these sorts of changes to an extent, since the parameter list and results set(s) returned from a procedure represent its contract, and the innards can be changed around, just so long as that contract is still met.  and also, if linq is used for more complex queries, tuning the database becomes a much more difficult task.  when a stored procedure is running slow, the dba can totally focus on the code in isolation, and has lots of options, just so that contract is still satisfied when he/she is done.  i have seen many, many cases where serious problems in an application were addressed by changes to the schema and code in stored procedures without any change to deployed, compiled code.  perhaps a hybird approach would be nice with linq   linq can, of course, be used to call stored procedures. ",linq linq-to-sql stored-procedures
97,"early software was often modal, but usability took a turn at some point, away from this style.   vi-based editors are total enigmas -- they're the only real surviving members of that order of software.   modes are a no-no in usability and interaction design because we humans are fickle mammals who cannot be trusted to remember what mode the application is in.   if you think you are in one ""mode"" when you are actually in another, then all sorts of badness can ensue. what you believe to be a series of harmless keystrokes can (in the wrong mode) cause unlimited catastrophe. this is known as a ""mode error"".  to learn more, search for the term ""modeless"" (and ""usability"")  as mentioned in the comments below, a modal interface in the hands of an experienced and non-fickle person can be extremely efficient. ",vim editor vi
98,"creating and using pop-up menus with glut is very simple. here is a code sample that creates a pop-up menu with 4 options:  // menu items enum menu_type {         menu_front,         menu_spot,         menu_back,         menu_back_front, };  // assign a default value menu_type show = menu_back_front;  // menu handling function declaration void menu(int);  int main() {         // ...          // create a menu         glutcreatemenu(menu);          // add menu items         glutaddmenuentry(""show front"", menu_front);         glutaddmenuentry(""show back"", menu_back);         glutaddmenuentry(""spotlight"", menu_spot);         glutaddmenuentry(""blend 'em all"", menu_back_front);          // associate a mouse button with menu         glutattachmenu(glut_right_button);          // ...          return; }  // menu handling function definition void menu(int item) {         switch (item)         {         case menu_front:         case menu_spot:         case menu_depth:         case menu_back:         case menu_back_front:                 {                         show = (menu_type) item;                 }                 break;         default:                 {       /* nothing */       }                 break;         }          glutpostredisplay();          return; }  ",opengl glut menu
99,"this is all described in the adobe flex 3 programming actionscript 3 pdf on page 550 (chapter 27: flash player security / cross-scripting):     if two swf files written with actionscript 3.0 are served from different domainsâfor example, http://sitea.com/swfa.swf and http://siteb.com/swfb.swfâthen, by default, flash player does not allow swfa.swf to script swfb.swf, nor swfb.swf to script swfa.swf. a swf file gives permission to swf files from other domains by calling security.allowdomain(). by calling security.allowdomain(""sitea.com""), swfb.swf gives swf files from sitea.com permission to script it.   it goes on in some more detail, with diagrams and all. ",flex flash actionscript-3 security
100,"i found one possible solution in the color faq. the luminance component y (from the cie xyz system) captures what is most perceived by humans as color in one channel. so, use those coefficients:  mono = (0.2125 * color.r) + (0.7154 * color.g) + (0.0721 * color.b);  ",colors rgb monochrome
101,"there's a simple solution.  assuming your (non-display) textures are 1024x1024 and you are restricted to a 256x256 window/display.  unsigned int win_width = 256; unsigned int win_height = win_width; unsigned int tex_width = 1024; unsigned int tex_height = tex_width;   use the window size to create your opengl window:  glutinitwindowsize(win_width, win_height);   but, use the texture size for everything else:  glviewport(0, 0, tex_width, tex_height); gluortho2d(0.0, tex_width, 0.0, tex_height); gltexcoord2i(tex_width, tex_height);  ",opengl textures
102,"drop into a cmd instance (or indeed powershell itself) and type this:  powershell -    you'll see that powershell.exe has a ""-noexit"" parameter which tells it not to exit after executing a ""startup command"". ",powershell batch-file
103,"it's the difference between ""black box"" testing (where you know what the code is supposed to do, but not how it works), and ""white box"" testing (where knowing how it works drives how you test it). ""black box"" testing is what most people think of when you mention quality assurance.  i work for a company where the qa team are also software developers.  (that narrows the field a lot if you care to guess the company.)  i know joel's opinion, and my experience leads me to partially disagree: for the same reason that a ""white hat"" hacker is more effective finding security holes, certain kinds of errors are more effectively found by white box testers who know how to write code (and therefore what the common mistakes are - for example, resource management issues like memory leaks).    also, since qa-oriented developers are part of the process from the initial design phase, they can theoretically help to drive higher-quality code throughout the process.  ideally, for each developer working on the project with a mental focus on functionality, you have an opposing developer with a mental focus on breaking the code (and thus making it better).    seen in that light, it's less a matter of using developers for testers than it is kind of disconnected pair-programming where one developer has an emphasis on controlling quality.    on the other hand, a lot of testing (such as basic ui functionality) frankly doesn't need that kind of skill.  that's where joel has a point.   for many businesses, i could see a system where programming teams trade off code review and testing duties for each others' code.  members of the business logic team, for example, could spend an occasional tour testing and reviewing code for the ui team, and vice-versa.  that way you're not ""wasting"" developer talent on full-time testing, but you are gaining the advantages of exposing the code to (hopefully) expert scrutiny and punishment.  then, a more traditional qa team can take up the ""black box"" testing. ",unit-testing testing process
104,"well, as with all ""what might be faster in real life"" questions, you can't beat a real life test.  function timefunc($function, $runs) {   $times = array();    for ($i = 0; $i &lt; $runs; $i++)   {     $time = microtime();     call_user_func($function);     $times[$i] = microtime() - $time;   }    return array_sum($times) / $runs; }  function method1() {    $foo = 'some words';   for ($i = 0; $i &lt; 10000; $i++)     $t = ""these are $foo""; }  function method2() {   $foo = 'some words';   for ($i = 0; $i &lt; 10000; $i++)     $t = ""these are {$foo}""; }  function method3()  {   $foo = 'some words';   for ($i = 0; $i &lt; 10000; $i++)     $t = ""these are "" . $foo; }  print timefunc('method1', 10) . ""\n""; print timefunc('method2', 10) . ""\n""; print timefunc('method3', 10) . ""\n"";   give it a few runs to page everything in, then...  0.0035568  0.0035388  0.0025394  so, as expected, the interpolation are virtually identical (noise level differences, probably due to the extra characters the interpolation engine needs to handle). straight up concatenation is about 66% of the speed, which is no great shock. the interpolation parser will look, find nothing to do, then finish with a simple internal string concat. even if the concat were expensive, the interpolator will still have to do it, after all the work to parse out the variable and trim/copy up the original string.  updates by somnath:  i added method4() to above real time logic.  function method4()  {   $foo = 'some words';   for ($i = 0; $i &lt; 10000; $i++)     $t = 'these are ' . $foo; }  print timefunc('method4', 10) . ""\n"";  results were:  0.0014739 0.0015574 0.0011955 0.001169   when you are just declaring a string only and no need to parse that string too, then why to confuse php debugger to parse. i hope you got my point. ",php optimization performance
105,"we use a case tool at my current company for code generation and we are trying to move away from it.  the benefits that it brings - a graphical representation of the code making components 'easier' to pick up for new developers - are outweighed by the disadvantges in my opinion.  those main disadvantages are:   we cannot do automatic merges, making it close to impossible for parallel development on one component. developers get dependant on the tool and 'forget' how to handcode.  ",cad
106,"your assumption is right, this is the optimal way to do it and it's called upsert/merge.  importance of upsert - from sqlservercentral.com:      for every update in the case mentioned above we are removing one   additional read from the table if we   use the upsert instead of exists.   unfortunately for an insert, both the   upsert and if exists methods use the   same number of reads on the table.   therefore the check for existence   should only be done when there is a   very valid reason to justify the   additional i/o. the optimized way to   do things is to make sure that you   have little reads as possible on the   db.      the best strategy is to attempt the   update. if no rows are affected by the   update then insert. in most   circumstances, the row will already   exist and only one i/o will be   required.   edit:  please check out this answer and the linked blog post to learn about the problems with this pattern and how to make it work safe. ",sql sql-server stored-procedures upsert
107,"@rob: i disagree.  to enforce what you are asking for i think you would need to use negative-look-behind, which is possible but is certainly not related to use {1}.  neither version of the regexp address that particular issue.  to let the code speak:  tibook 0 /home/jj33/swap &gt; cat text text this is &lt;http://example.com&gt; text this is text this is &lt;http://http://example.com&gt; text this is tibook 0 /home/jj33/swap &gt; cat p # /usr/bin/perl  my $re1 = '((mailto\:|(news|(ht|f)tp(s ))\://){1}\s+)'; my $re2 = '((mailto\:|(news|(ht|f)tp(s ))\://)\s+)';  while (&lt;&gt;) {   print ""evaluating: $_"";   print ""re1 saw \$1 = $1\n"" if (/$re1/);   print ""re2 saw \$1 = $1\n"" if (/$re2/); } tibook 0 /home/jj33/swap &gt; cat text | perl p evaluating: text this is &lt;http://example.com&gt; text this is re1 saw $1 = &lt;http://example.com&gt; re2 saw $1 = &lt;http://example.com&gt; evaluating: text this is &lt;http://http://example.com&gt; text this is re1 saw $1 = &lt;http://http://example.com&gt; re2 saw $1 = &lt;http://http://example.com&gt; tibook 0 /home/jj33/swap &gt;   so, if there is a difference between the two versions, it's doesn't seem to be the one you suggest. ",regex
108,"think of source control as a giant ""undo"" button for your source code. every time you check in, you're adding a point to which you can roll back. even if you don't use branching/merging, this feature alone can be very valuable.  additionally, by having one 'authoritative' version of the source control, it becomes much easier to back up.  centralized vs. distributed... the difference is really that in distributed, there isn't necessarily one 'authoritative' version of the source control, although in practice people usually still do have the master tree.  the big advantage to distributed source control is two-fold:   when you use distributed source control, you have the whole source tree on your local machine. you can commit, create branches, and work pretty much as though you were all alone, and then when you're ready to push up your changes, you can promote them from your machine to the master copy. if you're working ""offline"" a lot, this can be a huge benefit. you don't have to ask anybody's permission to become a distributor of the source control. if person a is running the project, but person b and c want to make changes, and share those changes with each other, it becomes much easier with distributed source control.  ",version-control
109,"what dale ragan said; it installed flawlessly on our windows server 2008 machine, including the dashboard running on iis 7. just give it a shot; should work fine. ",iis-7 cruisecontrol.net
110,"at my company we've recently adopted the (commercial) atlassian stack - including jira for issue tracking and bamboo for builds. much like the microsoft world (i'm guessing - we're a java shop), if you get all your products from a single vendor you get the bonus of tight integration.  for an example of how they've done interoperability, view their interoperability page.  enough shilling. generally speaking, i can summarize their general approach as:   create issues in your bug tracker (ex: issue key of proj-123). when you commit code, add ""proj-123"" to your commit comment to indicate what bug this code change fixes. when your ci server checks out the code, scan the commit comments of the diffs. record any strings matching the regex of your issue keys. when the build completes, generate a report of what issue keys were found.   specifically to your second problem:  your ci doesn't doesn't have to put anything into your bug tracker. bamboo doesn't put anything into jira. instead, the atlassian folks have provided a plugin to jira that will make a remote api call into bamboo, asking the question ""bamboo, to what builds am i (a jira issue) related "". this is probably best explained with a screenshot. ",continuous-integration bug-tracking fogbugz cruisecontrol.rb
111,"it's possible for a thread to be in more than one state at once therefore the threadstate property is actually a bitmap of possible states. so testing for equality with just one state will not give you the right result. you would need to do something like:  if((mthread.threadstate &amp; threadstate.running)  = 0)   however, checking thread state is the wrong to do anything. i'm not entirely clear what you're trying to achieve but i will guess that you're waiting for a thread to terminate before restarting it. in that case you should do:  mthread.join(); mthread = new thread(new parameterizedthreadstart(monitor)); if(check)     mthread.start(60000); else     mthread.start(0);   although if you describe the problem you're trying to solve in more detail i'm almost certain there will be a better solution. waiting around for a thread to end just to restart it again doesn't seem that efficient to me. perhaps you just need some kind of inter-thread communication   john. ",c# .net multithreading exception
112,"it depends on how often you are going to be calling the web service.  if you're going to be calling it almost constantly, it would probably be better to use method #2.  however, if it's not going to be getting called quite so often, you are better off using method #1, and only instantiating it when you need it. ",web-services
113,"by default (in c#), passing an object to a function actually passes a copy of the reference to that object. changing the parameter itself only changes the value in the parameter, and not the variable that was specified.  void test1(string param) {     param = ""new value""; }  string s1 = ""initial value""; test1(s1); // s1 == ""initial value""   using out or ref passes a reference to the variable specified in the call to the function. any changes to the value of an out or ref parameter will be passed back to the caller.  both out and ref behave identically except for one slight difference: ref parameters are required to be initialised before calling, while out parameters can be uninitialised. by extension, ref parameters are guaranteed to be initialised at the start of the method, while out parameters are treated as uninitialised.  void test2(ref string param) {     param = ""new value""; }  void test3(out string param) {     // use of param here will not compile     param = ""another value""; }  string s2 = ""initial value""; string s3; test2(ref s2); // s2 == ""new value"" // test2(ref s3); // passing ref s3 will not compile test3(out s2); // s2 == ""another value"" test3(out s3); // s3 == ""another value""   edit: as dp points out, the difference between out and ref is only enforced by the c# compiler, not by the clr. as far as i know, vb has no equivalent for out and implements ref (as byref) only, matching the support of the clr. ",c# .net vb.net
114,"most php sites should have a file (i call it a header) that you include on every single page of the site. if you put that first line of code in the header file, then include it like this on every page:   include 'header.php';   you won't have to use the global keyword or anything, the second line of code you wrote should work.  edit: oh sorry, that won't work inside functions... now i see your problem.  edit #2: ok, take my original advice with the header, but use a define() rather than a variable. those work inside functions after being included. ",php
